Land Land ,Bundestagswahl ,,,,,,,,,,,,,,
,1953 ,1957 ,1961 ,1965 ,1969 1972 ,1976 ,1980 1983 ,1987 ,1990 2002 ,2005 ,2009 ,2013 ,2017 ,2021 ,2025 
Deutschland? ,470 ,1.007 ,1126 ,1.163 ,1.322 1009 ,1306 ,1.763 1800 ,1767 ,2.5932.971 ,2.867 ,2.861 ,2.809 ,2.723 ,2.559 ,2.689 
darunter Briefwahlbezirke , , , , ,M , , , ,372 ,326 ,338 ,327 ,469 ,715 ,899 
Schleswig- Holstein ,24 ,96 ,97 ,46 ,92 ,93 92 ,96 ,98 96 ,97 106 ,102 ,101 ,100 ,100 ,88 ,91 
Mecklenburg- Vorpommern ,x ,X ,X ,X ,X ,X X ,X ,A X ,89 94 ,93 ,98 ,89 ,71 ,98 ,97 
Hamburg ,16 ,16 ,55 ,59 ,53 ,64 62 ,59 ,59 15 ,15 24 ,24 ,32 ,32 ,56 ,62 - ,107 
Niedersachsen ,67 ,246 ,245 ,187 ,207 ,202 188 ,194 202 ,205 ,208 245 ,248 ,245 ,245 ,283 ,222 ,259 
Bremen ,6 ,6 ,11 ,21 ,26 ,26 27 ,27 ,27 27 ,25 26 ,26 ,40 ,42 ,32 ,53 ,52 
Brandenburg ,X ,X ,A ,X ,A ,X ,X ,X ,108 137 ,130 ,141 ,133 ,130 ,109 ,113 
Sachsen-Anhalt ,X ,X ,X ,X ,X ,A X ,X ,A X ,130 116 ,108 ,126 ,120 ,83 ,100 ,95 
Berlin ,X ,X ,X ,X ,X ,X X ,X ,A X ,151 163 ,163 ,135 ,133 ,92 ,99 ,99 
Nordrhein- Westfalen ,136 ,115 ,121 ,125 ,138 ,141 142 ,576 578 ,571 ,563 622 ,585 ,567 ,572 ,493 ,402 ,405 
Sachsen ,X ,X ,X ,X ,X ,X ,X ,A ,218 196 ,194 ,186 ,177 ,124 ,132 ,132 
Hessen ,40 ,41 ,78 ,88 ,89 ,87 123 ,124 123 ,128 ,129 155 ,147 ,128 ,127 ,197 ,161 ,184 
Thuringen ,X ,X ,A ,X ,X ,X ,X ,X ,121 135 ,129 ,133 ,133 ,102 ,131 ,127 
"Rheinland-Plalz"" ",37 ,32 ,31 ,65 ,83 ,84 67 ,68 ,69 72 ,77 221 ,224 ,221 ,215 ,167 ,142 ,146 
Bayern ,99 ,365 ,391 ,392 ,445 ,112 406 ,420 429 ,439 ,440 471 ,440 ,432 ,422 ,480 ,428 ,439 
Baden-Warttemberg ,45 ,53 ,59 ,137 ,144 ,156 141 ,142 158 ,157 ,163 196 ,190 ,189 ,187 ,263 ,266 ,278 
Saarland ,X ,37 ,38 ,43 ,45 ,44 58 ,57 ,57 57 ,591 64 ,64 ,87 ,82 ,50 ,66 ,65 
