Land Land ,Bundestagswahl ,,,,,,,,,,,,,,
,1953 ,1957 ,1961 ,1965 ,1969 ,1972 ,1976 1980 ,1983 1987 ,1990 2002 ,2005 ,2009 ,2013 ,2017 ,2021 ,2025 
Deutschland* ,"1,5 ","2,2 ","2,4 ","2,4 ","2,5 ","1,9 ","2,6 3,4 ","3,4 3,3 ","3,7 3,6 ","3,6 ","3,9 ","4,0 ","3,6 ","3,0 ","3,1 "
Schleswig- Holstein ,"1,6 ","4,4 ","4,4 ","2,1 ","3,9 ","4,0 ","4,1 4,3 ","4,3 4,0 ","3,9 3,8 ","3,7 ","4,3 ","4,3 ","3,9 ","3,3 ","3,7 "
Mecklenburg- -Vorpommern , ,X ,X ,X ,X ,X ,X I ,X X ,"4,9 4.9 ",4.8 ,"5,8 ","5,9 ","4,4 ","5,5 ","5,9 "
Hamburg ,"1,4 ",13 ,"4,0 ","4,1 ","4,1 ","4,2 ","4,0 3,9 ","39 1,0 ","1,0 14 ","1,4 ","2,1 ","2,1 ",32 ,"3,0 ","3,8 "
Niedersachsen ,"1,4 ",41 - ,"4,1 ","3,1 ","3,1 ","3,0 ","3,1 3,1 ","3,1 3,1 ","3,1 3,0 ","3,0 ","3,1 ","3,2 ","3,7 ","2,6 ","3,2 "
Bremen ,"2,0 ",15 ,"2,4 ","3,7 ","4,3 ","5,0 ","4,9 5,2 ","5,2 5,1 ","49 4,9 ","5,1 ",71 ,"7,0 ",41 ,"9,5 ","8,3 "
Brandenburg ,X ,A ,A ,A , ,X ,X ,X X ,"4,3 5,2 ",50 ,"5,5 ","5,5 ","5,0 ","3,8 ","4,3 "
Sachsen- Anhalt ,X ,X , ,X ,A ,X ,X X ,X X - ,"4,5 5,2 ","4,9 ","6,6 ",63 ,"3,6 ","4,4 ","4,7 "
Berlin ,X ,X ,X ,X ,X ,X ,X X ,X X - ,"6,8 5.4 ","5,5 ","5,3 ","6,3 ",3.4 ,"3,0 ","2,9 "
Nordrhein- Westfalen ,"1,7 ",10 ,"0,9 ","1,0 ",11 ,"1,1 ","1,0 4,1 ","4,1 4,1 ","4,1 4,0 ","4,0 ",41 ,"4,2 ",34 ,"2,3 ","2,2 "
Sachsen ,A ,X ,X ,X ,X ,X ,X X ,X X ,"5,1 5,0 ","5,0 ","5,0 ","5,0 ","3,7 ","3,1 ","3,5 "
Hessen ,"1,6 ","- 1,2 ","2,0 ","2,1 ","2,0 ","1,9 ","3,0 2,7 ","2,7 2,9 ","2,8 2,7 ","2,6 ","2,5 ","2,5 ",3.9 ,"2,4 ","2,8 "
Thuringen ,A , ,X ,X ,I ,X ,X ,X X ,"4,5 4.9 ","5,1 ","6,0 ","6,3 ",4.6 ,"5,8 ","5,8 "
Rheinland- -Pfalz ,"1,5 ",10 ,"1,0 ","2,0 ","2,0 ","2,1 ","21 2,1 ","21 2,1 ","2,0 2,0 ","2,0 ","5,5 ","5,5 ","4,3 ","3,3 ","3,0 "
Bayern ,"1,3 ","4,1 ","4,1 ","3,9 ","4,1 ","1,0 ","4,0 4,0 ","4,0 3,9 ","3,8 3,5 ","3,4 ","3,2 ","3,2 ",3.5 ,"2,9 ","2,7 "
Baden-Wirttemberg ,"1,4 ",10 ,"1,0 ","2,3 ","2,1 ",21 ,"2,0 2,0 ",20 19 ,"2,0 2,0 ","2,0 ","2,0 ","2,0 ",27 ,"2,8 ",2.5 
Saarland ,X ,43 ,"4,1 ","3,9 ","4,3 ","4,2 ","5,5 5,6 ","5,6 5,5 ","5,6 5,7 ","5,5 ","7,6 ","7,7 ","3,9 ","6,6 ","6,7 "
